timestamp,api_type,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-16T13:14:22.145999,text_search,Clementi,Faber,transport,bus interchange,"bus interchange in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:23.169598,text_search,Clementi,Faber,transport,LRT station,"LRT station in Faber, Clementi, Singapore",OK,,10,
2026-07-16T13:14:24.073418,text_search,Clementi,Faber,food,hawker centre,"hawker centre in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:25.274121,text_search,Clementi,Faber,food,food court,"food court in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:26.272121,text_search,Clementi,Faber,food,coffee shop,"coffee shop in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:27.386677,text_search,Clementi,Faber,food,restaurant,"restaurant in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:28.414169,text_search,Clementi,Faber,food,cafe,"cafe in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:29.519233,text_search,Clementi,Faber,shopping,shopping mall,"shopping mall in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:30.141324,text_search,Clementi,Faber,shopping,supermarket,"supermarket in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:31.003149,text_search,Clementi,Faber,shopping,grocery store,"grocery store in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:32.075802,text_search,Clementi,Faber,shopping,convenience store,"convenience store in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:33.113924,text_search,Clementi,Faber,shopping,wet market,"wet market in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:34.111814,text_search,Clementi,Faber,recreation,gym,"gym in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:34.979044,text_search,Clementi,Faber,recreation,sports centre,"sports centre in Faber, Clementi, Singapore",OK,,19,
2026-07-16T13:14:36.276022,text_search,Clementi,Faber,recreation,swimming complex,"swimming complex in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:37.293185,text_search,Clementi,Faber,recreation,cinema,"cinema in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:38.174617,text_search,Clementi,Faber,recreation,community club,"community club in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:38.980851,text_search,Clementi,Faber,recreation,playground,"playground in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:39.954065,text_search,Clementi,Faber,nature,park,"park in Faber, Clementi, Singapore",OK,,1,
2026-07-16T13:14:40.694443,text_search,Clementi,Faber,nature,nature reserve,"nature reserve in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:41.573710,text_search,Clementi,Faber,nature,garden,"garden in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:42.534339,text_search,Clementi,Faber,nature,beach,"beach in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:43.480311,text_search,Clementi,Faber,nature,waterfront,"waterfront in Faber, Clementi, Singapore",OK,,3,
2026-07-16T13:14:44.386506,text_search,Clementi,Faber,nature,park connector,"park connector in Faber, Clementi, Singapore",OK,,7,
